F/CAKES,FISHCAKES
FLAVOURTOPPED,FLAVOUR TOPPED
FLAXSEED&GOJI,Flaxseed & Goji
FLEECFLEECE,Fleece
FLEXI,FLEXIBLE
FLKS,FLAKES
FLLD,FILLED
FLLTS,Fillets
FLOORFILLERS,Floor fillers
FLORALWORK,Floral Work
FLORENCE & FRED,F&F
FLORETS350G,FLORETS 350G
FLOWER/BUTTERFLYGLITTER,Flower/Butterfly Glitter
FLOWERSOF,Flowers Of
FLR,FLOUR
FLRS DE PRAIE,FLEURS DE PRAIRIE
FLT,Fillet
FLTR,FILTER
FLTRED,Filtered
FLTS,FILLETS
FLTS/SALT,Fillets / Salt
FLTS280-460G,FLTS 280-460G
FLTSBAG,Fillets Bag
FLVR,Flavour
FLWNG,FLOWERING
FLWR,FLOWER
FLWRZI,Flowerazzi
FLWS,FLOWERS
FME,FEMME
FMUD,Mum & Dad
FMUD FBOTH,For Mum and Dad from Both
FMUM,Mum
FNAN,Nan
FNCE ,Niece
FNDTN,FOUNDATION
FNDTN&CONCEALER,Foundation & Concealer
FNGRS,FINGERS
FNPW,Nephew
FOAM500ML,Foam 500ml
FOILEDSANTA,Foiled Santa
FOLM,Film
FOMNG,FOAMING
FOOD&,Food &
FOODMIGHT,Food Might
FOODMIGHTY,Food Might
FOOTBALLFOREVER,Football Forever
FOOTSET,Foot Set
FOOTSIE BLAC,Footsie
FOR A LVLY AUNTI,For a Lovely Auntie
FOR/R,Forever Red
FORCE STRONG,The Force is Strong
FOREVER HLTH FDS,FOREVER HEALTH FOODS
FOREVER VALENTIN,My Forever Valentine
FORL,FLORAL
FORLIFE-,For Life -
FORMAGGI266G,Formaggi 266G
FORMAGGIPIZZA,FORMAGGI PIZZA
FORMUL,Formula
FOS,Farne of Scotland
FOUNDBEEF,Found Beef
FOUNDCHILLI,Found Chilli
FOUNDCUMBRIAN,Found Cumbrian
FP,Flower Pharm
FPARTNER,To Partner
FR,FROM
FR/ITUP,Fresh it up
FRAG,FRAGRANCE
FRAG.,Fragrant
FRAMBOISE/IMAGN,Framboise Imaginaire
FRANKFURTERS12OZ,FRANKFURTERS 12OZ
FRANKFURTERS340G,FRANKFURTERS 340G
FRANKINCENSE2SET,Frankincense 2set
FRD,FRIEND
FRDOM,Freedom
FRED AND FLO,Fred & Flo
FREEE,Free
FREEZEDRIED,Freeze Dried
FREEZEPOP,Freeze Pop
FRENCHONION,FRENCH ONION
FRENCHS,French's
FRESH&GREEN,Fresh & Green
FRESHAIRDETERGENT,Fresh Air Detergent
FRESHENERGENTLE,Freshener gentle
FRESHENERSUMMER/WINTER,Freshener Summer/Winter
FRESHLYSQUEEZED,FRESHLY SQUEEZED
FRESHSEMI,Fresh Semi
FRESHSKIMMED,FRESH SKIMMED
FRESHTABLETS,Fresh Tablets
FRESHWHOLE,Fresh Whole
FRGE,Fridge
FRGREEM,From Green
FRGT,FRAGRANT
FRIEDBREADED,Fried Breaded
FRIEDRICE,Fried Rice
FRIENDSDS,Friends DS
FRIENDSFROMAGE,Friends Fromage
FRIENDSPARTY,FRIENDS PARTY
FRIENDSWIPES,Friends Wipes
FRIZZFIGHTER,Frizz fighter
FRKORMA,From Korma
FRLEYS,FARLEYS
FRMALL,From All
FRMLA,Formula
FRNCH,FRENCH
FRNCH/IVOR,FRENCH IVORY
FRNCH/IVORY,French Ivory
FRNCHDRESSING,French Dressing
FRNCI,FORNACCINI
FRNDS,Friends
FRNKE & ELEN’S,FRANKIE & EILEEN’S
FRS,FROSTY
FRSH,FRESH
FRSH800G,Fresh 800g
FRSHMATIC,Freshmatic
FRST,FROST
FRST/COPPE,FROSTED COPPER
FRST/COPPER,Frosted Copper
FRSTD,FROSTED
FRSUN,From Sun
FRT,FRUIT
FRT&PCH470G,Fruit & Peach 470g
"FRT,OATS",Fruit Oats
FRTIKKA,From Tikka
FRTPUREE,Fruit Puree
FRTS,Fruits
FRTS4,Fruits 4
FRTSPREAD,Fruit Spread
FRTWKS,Fruit works
FRTY,FRUITY
FRTYLMB,Fruity Lamb
FRTYOGURT,Fruit Yogurt
FRUIT&,Fruit &
FRUITINICRINKLE,Fruitini Crinkle
FRUITINIORANGE,Fruitini Orange
FRUITINIP/APPLE,Fruitini Pineapple
FRUITPOUCH,Fruit Pouch
FRUITSGPFRT,Fruits Grapefruit
FRUITSMOOTHIE,FRUIT SMOOTHIE
FRUITSQUEEZIES-S/BERRPEAR,Fruit Squeezies Strawberry Pear
FRUITYFAVOURITES4X120G,Fruity Favourites 4X120g
FRUITYFAVOURTIES4*120G,Fruity Favourties 4x120G
FRUJIESJELLY,Frujies Jelly
FRUJIESMANDARINS,Frujies Mandarins
FRWHIT,From White
FRYVEG,Fry Veg
FRZ,FROZEN
FRZE,Freeze
FSHN,FASHION
FSIS,Sister
FSN/RED,FUSION RED
FSON,Son
FSON & DTR IL,For Son & Daughter-in-law
FSPECIALCOUPLE,To A Special Couple
FSSPECIAL2ME,To Someone Special To Me
FST/HLING,Faster Healing
FSTVE,Festive
FSWRE,FRESH WEAR
FT,Fairtrade
FTD,FITTED
FTH,FATHER
FTHR/L,Feather Light
FTIED,FORTIFIED
F'TINE,FLORENTINE
FTUCNE,Fettuccine
FUDGECAKE,Fudge Cake
FUDGEYOGURT,Fudge Yogurt
FUDI DI SN GEGRI,FEUDI DI SAN GREGORIO
FUEL1.6KG,Fuel 1.6Kg
FUEL45G,Fuel 45g
FULL OF LOVE,Full of Love
FULLYSYNTHETIC,Fully Synthetic
FUNC,Uncle
FURNITUREWOOD,Furniture Wood
FUSCIABOWL,Fuscia Bowl
FUSCIAPLATE,Fuscia Plate
FUSS2IN1,Fuss 2 in 1
FVALENTINE,For My Valentine
FWB,FOURTH WALL LTD
FWIF,Wife
FXB/TECH,flexball technology
FXD,FIXED
G HW MCH I LUV U,Guess How Much I Love You
G&B,Green & blacks
G&T,Gin & Tonic
G.SMITH,Granny Smith
G/A,Go ahead
G/A/S,GARNIER AMBRE SOLAIRE
G/AHEAD,GO AHEAD
G/AMATIC,Glade Automatic
G/APPLE,Green Apple
G/BKHSE,Gallaghers Bakehouse
G/BLEND,GOLD BLEND
G/BREAD,Gingerbread
G/BROWN,Golden Brown
G/CREMA,GRAN CREMA
G/CRSTLS,Glam Crystals
G/DSCRT,Glade Discreet
G/ELEC,Glade Electric
G/FARM,Glenilen Farm
G/FAYRE,GILBERRY FAYRE
G/FELLAS,Goodfella's
G/FIELD MUSHRMS,GARDEMFIELD MUSHROOMS
G/FREE,Gluten Free
G/FRUIT,Grapefruit
G/GINELLI,GINI GINELLI
G/H/MTL & CO.,G.H. MARTEL & CO.
G/HERB,GROWING HERBS
G/ISLE,GREENISLE
G/KIT,GLAZE KIT
G/LIQR,Gin Liqueur
G/ORNG,GLOWING ORANGE
G/P CASE,GOLD PLATED CASE
G/POL,Gel Polish
G/SMITH,Granny Smith
G/SNSE,Glade sense 
G/SYRUP,Golden Syrup
G/TEA,GINGER TEA
G/VAPOUR,GREEN VAPOUR
G/ZONE,GREY ZONE
GADGETLAST,Gadget Last
GAL/BLUE,GALACTIC BLUE
GALAXYS BEST DAD,Galaxy's best dad
GALTTE,Galette
GALWAY BAY SFDS,GALWAY BAY SEAFOODS
GAMEBODY,Game Body
GAMMONJOINT,GAMMON JOINT
GAMMONSTEAK,GAMMON STEAK
GAMN,Gammon
GAR,Garlic
GAR&COR,Garlic & Corriander
GAR.,GARLIC
GAR.SOUP,Garlic Soup
GAR/HERB,Garlic & herb
GAR/HRB,Garlic & Herb
"GARCHILLI,","Garlic Chilli ,"
GARDENBUTTER,Garden Butter
GARDENF/TURE,Garden Furniture
GARDENFRIEND,Garden Friend
GARLASAGNE,Garlic Lasagne
GARLIC&,GARLIC &
GARLIC&CORIANDER,Garlic & Coriander
GARLIC&CRM,Garlic & Cream
GARLIC&HERB,Garlic & Herb
GARLIC&OLIVE100G,Garlic & Olive 100g
GARLICAND,Garlic And
GARLICBAGUETTE,GARLIC BAGUETTE
GARLICBUTTER,GARLIC BUTTER
GARN,GARNISHED
GARR/MARY&BURGANDY,Harriott Rosemary & Burgandy
GARST/FRY,Garlic Stirfry
GAST,Gastro
GAT,GATEUX
GBC,The Great British Card Company
GBREADCHARACTER,GINGERBREAD CHARACTER
GD FD MERRY MOOD,Good Food Merry Mood
GD/KD/PR,GOOD KIND PURE
GDL,Good Luck
GDN,GARDEN
GDN/OI,Garden Of Innovation
GEL ///,Gel
GEL125ML,Gel 125ml
GELAT,Gelateria
GELCRYSTAL,Gel Crystal
GELSEASONAL,Gel seasonal
GEN,GENETIC
GENRTN,Generation
GEWURZT,GEWURZTRAMINER
GFM,GENERAL FOOD MERCHANTS
GFRD,GIRLFRIEND
GFTST,GIFTSET
GHERKINSVINEGAR,Gherkins Vinegar
GIANTJUMBO,Giantjumbo
GIFTTUBE,Gift tube
GILLETTEPROGLIDE,Gillette Proglide
GINGERBREADCAKE,GINGERBREAD CAKE
GINGERBREADLOAF,GINGERBREAD LOAF
GINGERCRUMBLE,Ginger Crumble
GINGR,GINGER
GINGR&ORNG,Ginger & Orange
GINGRTEA,Ginger Tea
GIVEURSLFPFCTDAY,Give Yourself a Perfect Day
GJONS,Goujons
GL/COLR,Gel Colour
GLAM, Glamorous
GLAZE428G,Glaze 428g
GLAZED1/2,Glazed Half
GLBL,GLOBAL
GLCSE,Glucose
GLCSMNE,Glucosamine
GLCSTR,Gloucester
GLD,GOLD
GLDN,GOLDEN
GLDN/BLNDE,Golden Blonde
GLDN/BRWN,Golden Brown
GLDN/KNG POTS,Golden King Potatoes
GLDNBRWN,Golden brown
GLDNGRANULATED,Golden Granulated
GLMRS/GLSS,Glamorous Gloss
GLOBEHALOGEN,Globe Halogen
GLOSS KH,Gloss
GLOSS TI,Gloss tights
GLOUCESTERONION,GLOUCESTER ONION
GLOVESLARGE,Gloves large
GLOVESMEDIUM,Gloves medium
GLOVESSMALL,Gloves small
GLOW300ML,Glow 300ml
GLSSNG,GLOSSING
GLT/FR,Guilt Free
GLTN/FR,GLUTEN FREE
GLUCK,GOOD LUCK
GLUTEN&WHT,Gluten & White
GLVS,GLOVES
GMES,GUMMIES
GMN/SHNKS,Gammon Shanks
GNASHERDOUBLE,Gnasher Double
GNGR,GINGER
GNGR&,Ginger &
GNGRMARINADE,Ginger Marinade
GNPWDER,Gunpowder
GNRL,GENERAL
GNS,GRAINS
GNT,GENTLY/GENTLE
GOANTIBAC,Go anti bacterial
GOATSCHEESE,GOATS CHEESE
GODGHT,GODDAUGHTER
GOFTH,GODFATHER
GOLD/CORAL,GOLDSPUN CORAL
GOLDENHAMMER,Golden Hammer
GOLDENNORFOLK,GOLDEN NORFOLK
GOMTH,GODMOTHER
GOOD FELLAS,Goodfella's
GOODAPL,Good Apple
GOODCOMPANY,Good Company
GOODIESSQUEEZIES,Goodies Squeezies
GOODIESSQUEEZIESBL/BERRY,Goodies squeezies Blueberry
GOODIESSQUEEZIESPEAR,Goodies squeezies pear
GOOSEBERRIED,Gooseberries
GOPT,GODPARENTS
GOURMETCHESTNUT,Gourmet Chestnut
GOURMETCORONATION,Gourmet Coronation
GOURMETCREAMY,Gourmet Creamy
GOURMETFISHERMAN,Gourmet fisherman
GOURMETGRILLED,Gourmet Grilled
GOURMETPUY,Gourmet Puy
GOURMETSMK,Gourmet Smoked
GOURMETTUNA,Gourmet Tuna
GOURMETWHOLE,Gourmet Whole
GPFRT,GRAPEFRUIT
GPFRTPASN/FR,Grapefruit Passion Fruit
GRAIN&SEED,GRAIN & SEED
GRAINWILD,Grain Wild
GRAMS,G
GRAN/GRY,Granite Grey
GRANDE128G,Grande 128g
GRANS,Granules
GRANULATEDSWEETENER,Granulated Sweetener
GRAPE/POMOGRNT,Grape/Pomegranate
GRAPEAND,Grape And
GRAPEFRUITSEGMENTS,Grapefruit Segments
GRAPEFRUT,grapefruit
GRAPER/BERRY &C/BERRYJCE,Grape Raspberry & Cranberry Juice
GRAPESSNACK,Grapes Snack
GRAPFRT,Grapefruit
GRASSSEED,Grass Seed
GRATEDEMMENTAL,GRATED EMMENTAL
GRAVYDUCK,Gravy Duck
GRAVYGRANULES,Gravy Granules
GRAVYMIX,Gravy mix
GRD/OH,Guard of Honour
GRDDAUGHTER BDY,Grandaughter Birthday
GRDGHT,GRANDDAUGHTER
GRDUL,Gradual
GREASYSHAMPOO,Greasy Shampoo
GREATESTEVER,Greatest Ever
GREATSTHE,Greats The
GREEKSTYLDHNYPCH,Greek Styldhnypch
GREEN&,Green &
GREENCLEANPATIO,Green Clean Patio
GREENT,GREEN
GREY/BLCK,Grey/Black
GREY/BLK/WHITE,Grey/Black/White
GRFRT,Grapefruit
GRFTH,GRANDFATHER
GRILL810G,Grill 810g
GRILLSTEAKS320G,Grill Steaks 320g
GRILLSTEAKS340G(C),Grill Steaks 340g ( C )
GRILLSTEAKS428G,Grill Steaks 428g
GRILLSTEAKS800G,Grill Ssteaks 800g
GRIOTTECHERRY,GRIOTTE CHERRY
GRK,Greek
GRK/STYLE,GREEK STYLE
GRL,Girl
GRMA,GRANDMA
GRMTH,GRANDMOTHER
GRN,GREEN
GRN&,Green &
GRN/FR,Grain Free
GRN/MINT,Green Mint
GRN/T,Green Tea
GRN/WHITE,Green / White
GRNCHA/RSE,Garnacha Rose
GRND,GROUND
GRND227G,GROUND 227G
GRNDMARNIER,GRND MARNIER
GRNLA,GRANOLA
GRNLS,Granules
GRNULTD,Granulated
GROUIND,Ground
GROUNDCLEARS,Ground Clears
GROUNDMINCED,GROUND MINCED
GRPA,GRANDPA
GRPFRT,Grapefruit
GRPIC,GRAPHICS
GRPRT,GRANDPARENTS
GRPSEED,Grapeseed
GRS/FD,Grass-Fed
GRSON,GRANDSON
GRSTYL COCNT&VAN YOGRT,Greek Style Coconut & Vanilla Yogurt
GRSY,GREASY
GRUP,Group
GRUYEREBAKE,GRUYERE BAKE
GRUYERETARTS,GRUYERE TARTS
GRVY,Gravy
GRWING,Growing
GSON,GODSON
GSY,GREEK STYLE YOGURT
GT,GLOBETROTTERS
GTGRPRT,GREAT GRANDPARENTS
GTS/CHSE,Goats Cheese
GUAVA160G,Guava 160g
GVY,GRAVY
GWELL,GET WELL
H OF/KMARE,HARRINGTONS OF KENMARE
H&B,HAIR & BODY
H&BRMBLE,Hawkins & Brimble
H&S,Home & Styling
H.NUT,Hazelnut
H/ACHE,Headache
H/B,Hardback
H/BREAKS,HUNGER BREAKS
H/C,Healthy Choice
H/CHAIR,Highchair 
H/CHOC,Hot chocolate
H/CKD,HAND COOKED
H/COATED,HALF COATED
H/COL,Hair Colour
H/COMB,HONEYCOMB
H/COOK,Handcooked
H/DAZS,HAAGEN DAZS
H/DEF,HEAT DEFENCE
H/DGEE,HEY DUGGEE
H/DINGER,HUMBINGER
H/DORYS,Hunky Dorys
H/DOUGH,Hard Dough
H/DRIVE,Hard Drive
H/DYE,Hair Dye
H/E,HEALTHY EATING
H/ENHANCING,Highlight Enhancing
H/F,HALF FAT
H/FAT,Half Fat
H/GREY,HURRICANE GREY
H/GWR,Hammond Gower
H/H,Healthy Helpings
H/HOLD,HOUSEHOLD
H/HOOPS,Hula Hoops
H/IND,Hormone Indicator
H/INSPRNS,Healthy Inspirations
H/L,HEALTHY LIVING
H/L BB,HEALTHY LIVING BEAUTIFULLY BALANCED
H/LAND,HIGHLAND
H/LGHT,Highlight 
H/LGHTNG,Highlighting
H/LIGHT,Highlight
H/LIGHTED,HIGHLIGHTED
H/LIVING,HEALTHY LIVING
H/MADE,HANDMADE
H/NESS,HAPPINESS
H/NUT,HAZELNUT
H/NUT&CHOC,Hazelnut & Chocolate
H/NUTS,Hazelnuts
H/NUTSHAMPOO,Hazlenut Shampoo
H/NUTSLICES,Hazelnut Slices
H/O,HEALTHY OPTIONS
H/O S/FING,Herb & Onion Stuffing
H/PHONE,Headphone
H/PHONES,Headphones
H/RADISH,HORSERADISH
H/RADISHMUSTARD,Horseraddish Mustard
H/RADISHPIE,HORSERADISH PIE
H/RADISHSAUCE,Horseraddish Sauce
H/RAMSDEN,HARRY RAMSDEN
H/ROAST,Honey Roast
H/ROSE,HEAVENLY ROSE
H/S,Headsets
H/SANITISER,Hand Sanitiser
H/SENS,HEAT SENSOR
H/SERUM,Hair Serum
H/SET,Headset
H/SHINE,Hi Shine
H/SPRAY,HAIR SPRAY
H/SRV,HEAT & SERVE
H/STRKG,Hair Streaking
H/SUCKLE,Honey Suckle
H/UP,HOLD UP
H/VG,High Veg
H/WASH,Handwash
H/WIFE,House Wife
HAB/PEPR,Habanero Pepper
HADDOCK/CHSE,Haddock / Cheese
HADDOCKBATTERED,HADDOCK BATTERED
HADDOCKFILLETS,HADDOCK FILLETS
HAIR&,Hair &
HAIR&BDY,Hair & Body
HAIR&BDYWSH250ML,Hair & Bodywash 250ml
HAIR/MIN,HAIR MINIMISING
HAIRACC,Hair Accessories
HAIRSPRAY,Hair Spray
HAIRSPRAYSHEAT,Hair Sprays Heat
HAIRSPRAYUV,Hair Spray Ultra Vilot
HAKEMEDITERRANEAN,HAKE MEDITERREAN
HALF 'N HALF,H'NH
HALF/CAF,HALF CAFFEINE
HALLMARK XM,Hallmark Christmas
HALMI,HALLOUMI
HAM&,Ham &
HAM&PORK170G,Ham & Pork 170g
"HAM,CHEESEPICKLE","HAM, CHEESE, PICKLE"
HAM/FLT,Ham Fillet
HAM180G,Ham 180g
HAMBLACK,Ham Black
HAND&MACHINE,Hand & Machine
HANDBLENDER,Hand Blender
HANDCRIMPED,HAND CRIMPED
HANDLECHOC,Handle Chocolate
HAPPY MEMORIES,Happy Memories
HAPPYBIRTHDAY2U,Happy Birthday To You
HARDINGFRENCH,Harding French
HARMONIZ,HARMONIZING
HARRIOTBBQ,Harriot Barbeque
HARRIOTTAROMATIC,Harriott Aromatic
HARRIOTTASPARAGUS,Harriott Asparagus
HARRIOTTBROCCOLI&STILLTON,Harriott Broccoli & Stillton
HARRIOTTCAS,Harriott Cup A Soup
HARRIOTTCHOC,Harriott Chocolate
HARRIOTTEAST,Harriott East
HARRIOTTM/RONI,Harriot Macaroni
HARRIOTTM/ROOM,Harriot Mushroom
HARRIOTTMOROC,Harriott Moroccan
HARRIOTTMXD,Harriot Mixed
HARRIOTTPREM,HARRIOTT PREM
HARRISA,Harissa
HARVESTSAUV/BLANC,Harvest Sauvignon Blanc
HASLBK/POTS,Hasselback Potatoes
HATAND,Hat And
HATS/CATSFIZZIES,Hats/Cats Fizzies
HAUNTEED,Haunted
HAVE A LY DAY,Have a lovely day'
HAVE A LY TIME,Have a lovely time
HAVE HPPY FDAY,Have a Happy Father's Day
HAVEAPERFECTBDAY,Have a Perfect Birthday
HAYWOOD&PADGETT,Haywood & Padgett
HAZELNUT &RAISIN,Hazelnut & Raisin
HAZELNUTSHAMPOO,Hazelnut Shampoo
HAZLENUT&ALMOND,Hazlenut & Almond
HBDAY,HAPPY BIRTHDAY
HBISCS,Hibiscus
HBRUSH,HAIRBRUSH
HCPTER,HELICOPTER
HCT,HC Tag
HD,High Definition
HD & SHLDRS,HEAD & SHOULDERS
HDDK,HADDOCK
HDGARDEN/REFUSE,Heavy Duty Garden Refuse
HEADBA,Headband
HEADPHONESBL,HeadphonesBlack
HEALTHYLIVING,HEALTHY LIVING
HEART50G,HEART 50G
HEARTYM/STRONE,HEARTY MINESTRONE
HEAVENDESSERT,HEAVEN DESSERT
HEAVYTAKEAWAY,HEAVY TAKEAWAY
HEINZ M/C,HEINZ MEDITERRANEAN CLASSIC
HEINZ W/W,Heinz Weight Watchers
HELLMANNS,Hellmann's
HERB&CHSE,Herb & Cheese
HERB/ESS,Herbal Essences
HERBALSHAMPOO,Herbal Shampoo
HERBCASSEROLE,Herb Casserole
HERBDUMPLINGS,HERB DUMPLINGS
HERBMARINADE,Herb Marinade
HERBRICE,Herb Rice
HERBSALMON,Herb Salmon
HERITAGETOASTER,Heritage toaster
HERMITAGE75,Hermitage 75
HGG,Huggies
HI WAIST SHA,High Waist Shaping
HICKORYSMOKED,HICKORY SMOKED
HI-FIBRE,High fibre
HIGHLIGHTNUTRITION,Highlight Nutrition
HIGHLIGHTS400ML,Highlights 400ml
HIGHLIGHTSHAMPOO,Highlight Shampoo
HKM,Henryk Kania Maestro
HLDIKI,HALKIDIKI
HLDR,Holder
HLDUP,Hold Up
HLWEEN,Halloween
HM,Hallmark
HM F.F XM,Hallmark Forever Friends Christmas
HMGAL,HALLMARK GALLERY
HMR,HUMOUR
HNDL,HANDLE
HNDLPOLISHED,Handle Polished
HNDRN’S RELISH,HENDERSON’S RELISH
HNGRY/CTPLR,Hungry Caterpillar
H'NH,Half 'N Half
HNT,Hint
HNTRS,HUNTER
HNY,Honey
"HNY, LEMO","Honey, Lemon"
HNY/D,Honeydew
HNZ,HEINZ
HOF,Heaps of Fruit
HOLDU,Hold Up
HOLOGRPH,Holographic 
HOMEPURPLE,Home Purple
HOMESAUCE,Home Sauce
HOMESPCH,Home Spinach
HON,HONEY
HON&MSTRD,Honey & Mustard
HON/BROWN,HONEY BROWN
HON/BUSH&S/BERRY,Honeybush & Strawberry
HON/BUSH&VANI20S,Honeybush & Vanilla 20's
HON/MUSTARDGRAVY,HONEY / MUSTARD GRAVY
HON/NUT,Honey Nut
HON20S40G,Honey 20's 40g
HONEY&,Honey &
HONEY&MUSTARD,Honey & Mustard
HONEY&YOGURT,Honey & Yogurt
HONEY/,Honey /
HONEYBDY,Honey Body
HONEYCOMBBUNNY,Honeycomb Bunny
HONEYROAST,Honey Roast
HONEYSUCKLE/SILKSHWR,Honeysuckle/Silkshower
HONEYYOGURTS,HONEY YOGHURTS
HOOPS&,Hoops &
HOPE IT SPARKLES,Hope It Sparkles
HORM,HORMONAL
HOT&SPICY,Hot & Spicy
HOT&TANGY,Hot & Tangy
HOTPOTWITH,Hotpot With
HOUSECOMPLETE,House Complete
HPFLLY BRW CO.,Hopfully Brewing Co.
HPP,HOTCH POTCH PUBLISHING
HPPY FDAY,Happy Father's Day
HRB,Herb
HRBL,HERBAL
HRG,HERRING
HRT,HEART
HRT90G,Heart 90g
HRTFELT SYMPATHY,Heartfelt Sympathy
HRTIN,Hearting
HRTY,Hearty
HRTY FD/CO,Hearty Food Company
HRY/POTR,HARRY POTTER
HS,HIGH STRENGTH
HSET,Headsets
HSM,High School Musical
HSM3,High School Musical 3
HSTYLES,HAIRSTYLES
HUNTLEY&PALMERS,Huntley & Palmers
HUS,HUSBAND
HVA ROARIN DAY,Have a Roaring Day!
HVY,Heavy
HWAIN,HAWAIIAN
HYDRA,HYDRATING
HYDRATEBATH,Hydrate Bath
HYDRATEBODY,Hydrate Body
HYLRNIC/ACD,Hyaluronic Acid
HYPERBOL,HYPERBOLIQUE
HYPO,HYPOALLERGENIC
HYPOALLERGENIC,Hypo Allergenic
HYPOALLERGIC,Hypo Allergic
HYPOTHET,HYPOTHETIQUE
I HEAR IT'S FDAY,I hear it's Fathers Day
I.O.M,ISLE OF MAN
I.O.M.,Isle of Man
I/BENEFITS,INSTANT BENEFITS
I/CREAMSTICK,Ice Cream Stick
I/CRM,ICE CREAM
I/DENTAL,INTERDENTAL
I/GROOM,Invisigroom
I/LGHT,ICON LIGHT
I/PENDENT,INDEPENDENT
I/SMKRY,Island smokery
I/STYL,Indian Style
I/STYLE,ITALIAN STYLE
ICE-CREAM500ML,Ice-Cream 500ml
ICN,Icon Art
IFBLE,INFLATABLE
IFS,INTERNATIONAL FOOD SOLUTIONS
IGALATIC,INTERGALACTIC
IGF1,IGF-1
IGLESIASEUPHORIA,Iglesias Europhia
ILLUM,Illuminating
ILLUMINATING300M,Illuminating 300 ml
ILLUMINATING75ML,Illuminating 75ml
IMMUNITYCHEWABLE,Immunity Chewable
I-MOTIONMINI,I-Motion Mini
IMP LTHR,Imperial Leather
IMPACTMODEM,Impact Modem
IMTY,IMMUNITY
IN2U,IN 2U
INBLACK,In Black
INBLACKBEAN,In Black Bean
INBREADCRUMBS,IN BREADCRUMBS
INC WRAPS,INCLUDING WRAPS
INCHCHEWDLES,Inch Chewdles
INCHEESE,IN CHEESE
INCL,Including
INCONT,Incontinence
IND,INDIVIDUAL
IND/WF,Individually Wrapped and Folded
INDIABUTTER,India Butter
INDIATHAI,India Thai
INDIVIDUALSCOTCH,Individual Scotch
INDLGNT,Indulgent
INDN,INDIAN
INDO,INDONESIAN
INFLATABUBBLES,Inflatable Bubbles
INFLBLE,INFAILLIBLE
INFSD,Infused
INFSIN,INFUSION
INFSNS,Infusions
INFUSINGS/POO,Infusing Shampoo
INGRAVY,In Gravy
INGRDNTS,Ingredients
INGRED,Ingredient
INGREDIENTGRN,Ingredients Green
INGREDIENTR/MARY,Ingredient Rosemary
INJELLY,In Jelly
INNO/PINK,INNOCENT PINK
INNOCENCE4G,INNOCENCE 4g
INS,INSTANT
INS/BERRY,In Strawberry
INSHERRY,In Sherry
INSPRD,Inspired
INSPRNS,Inspirations
INST,Instant
INST.COFFEE,Instant Coffee
INSTANTCHOC,Instant Chocolate
INSTANTCOFFEE,Instant Coffee
INSTANTLIGHT,Instant Light
INSTANTMALTED,Instant Malted
INSTNT,Instant
INT,INTENSIVE
INT.,INTENSIVE
INTELL,INTELIGENCE
INTENSE400ML,Intense 400ml
INTOM SCE,In Tomato Sauce
INTOMATO,In Tomato
INTS,Intense
INTS COLR,Intensive Color
INVASIONTRADING,Invasion Trading
INVIG,INVIGORATING /INVIGORATE
INVISI,INVISIBLE
INWHITE,In White
IOW,ISLE OF WIGHT
IOW (AMENDED),Isle of wight
IOW(AMENDED),Isle of wight
IRDECNT/EMRLD,Iridescent Emerald
IRISHCREAM,Irish Cream
IRON BREW,I/BRW
IRSH,Irish
IRSH BAC SLICERS,IRISH BACON SLICERS
IRSH PSTRY HOUSE,IRISH PASTRY HOUSE
ISB,IN STORE BAKERY
ISL.CRM,Island Cream
ISLANDDRSSNG,Island Dressing
ITAL,ITALIAN
ITAL/LMBRSCO,Italiano Lambrusco
ITALCHSE&S/DRD TOMTBRDMIX500G,ITALIAN CHEESE & SUNDRIED TOMATO BREAD MIX 500G
ITALIAN2,Italian 2
ITALIANHERB,Italian herb
ITALPASTA,Italian Pasta
ITL/STYL,Italian Style
ITNG,In The Night Garden
I'VE GOT YOU,I've Got You
IWF,Individually Wrapped and Folded
J&J,Johnson's
J/AUBER,JUST AUBERGINE
J/CREEK,Jacobs Creek
J/DODGERS,Jammie Dodgers
J/F,JOHN FRIEDA
J/FORMULA,Jungle Formula
J/GREEN,JADE GREEN
J/WEST,John West
JACKRECTANGULAR,Jack Rectangular
JACQ,JACQUARD
JAL,JALAPENO
JALAPENOPEPPERS,Jalapeno Peppers
JALAPENOSTUFFED,Jalapeno Stuffed
JALFREZI350G,JALFREZI 350G
JALFREZIAND,JALFREZI AND
JALFREZIMEAL,JALFREZI MEAL
JALFREZIWITH,Jalfrezi With
JAM/CHOC,Jam / Chocolate
JAM340G,Jam 340g
JAMAICAJERK,Jamaica jerk
JAMAICANPATTIES,JAMAICAN PATTIES
JAR160G,Jar 160g
JARTROPICAL,Jar Tropical
JARWITH,Jar With
JAS,Jasmine
JASMIN,Jasmine
JASMINE160G,Jasmine 160g
JASMINE26WASH,Jasmine 26 Wash
JASMINE30ML,Jasmine 30ml
JASMINETWIST,Jasmine Twist
JCE,JUICE
JCEFRUIT,Juice Fruit
JCY,JUICY
JE T'IME,JE T'AIME
JELLY&,Jelly &
JELLY/ICE,Jelly / Ice
JELLY400G,Jelly 400g
JELLYANIMALS,Jelly Animals
JELLYBEAN,JELLY BEAN
JELLYPEACHES,Jelly Peaches
JERKINBELIEVE,Jerkin Believe
JERKYSNACKS,Jerky Snacks
JERSEYFITTED,Jersey fitted
JERSEYFTD,Jersey fitted
JHNSTNES,Johnstone’s
